P,K,C,val_acc
4,400,0.003,0.6996
4,400,0.005,0.7038
4,400,0.01,0.7088
4,400,0.02,0.7122
4,400,0.03,0.7138
4,800,0.003,0.7192
4,800,0.005,0.7244
4,800,0.01,0.7288
4,800,0.02,0.7324
4,800,0.03,0.7348
4,1200,0.003,0.733
4,1200,0.005,0.7378
4,1200,0.01,0.7392
4,1200,0.02,0.7422
4,1200,0.03,0.7428
4,1600,0.003,0.7442
4,1600,0.005,0.7474
4,1600,0.01,0.7478
4,1600,0.02,0.7502
4,1600,0.03,0.749
4,2000,0.003,0.7444
4,2000,0.005,0.7476
4,2000,0.01,0.7518
4,2000,0.02,0.7486
4,2000,0.03,0.749
4,2400,0.003,0.7478
4,2400,0.005,0.7528
4,2400,0.01,0.7546
4,2400,0.02,0.7498
4,2400,0.03,0.7474
4,3200,0.003,0.7518
4,3200,0.005,0.7574
4,3200,0.01,0.756
4,3200,0.02,0.7492
4,3200,0.03,0.7458
4,4000,0.003,0.764
4,4000,0.005,0.7646
4,4000,0.01,0.7632
4,4000,0.02,0.7598
4,4000,0.03,0.7536
4,6000,0.003,0.7652
4,6000,0.005,0.7666
4,6000,0.01,0.7622
4,6000,0.02,0.7546
4,6000,0.03,0.7516
4,8000,0.003,0.7686
4,8000,0.005,0.7656
4,8000,0.01,0.7612
4,8000,0.02,0.7534
4,8000,0.03,0.7464
5,400,0.003,0.7096
5,400,0.005,0.7156
5,400,0.01,0.721
5,400,0.02,0.727
5,400,0.03,0.7282
5,800,0.003,0.7296
5,800,0.005,0.7378
5,800,0.01,0.7406
5,800,0.02,0.7478
5,800,0.03,0.7446
5,1200,0.003,0.7428
5,1200,0.005,0.7484
5,1200,0.01,0.752
5,1200,0.02,0.752
5,1200,0.03,0.753
5,1600,0.003,0.757
5,1600,0.005,0.761
5,1600,0.01,0.7604
5,1600,0.02,0.7626
5,1600,0.03,0.7588
5,2000,0.003,0.7562
5,2000,0.005,0.7594
5,2000,0.01,0.76
5,2000,0.02,0.7598
5,2000,0.03,0.7576
5,2400,0.003,0.7662
5,2400,0.005,0.7664
5,2400,0.01,0.7658
5,2400,0.02,0.7624
5,2400,0.03,0.7602
5,3200,0.003,0.7698
5,3200,0.005,0.7712
5,3200,0.01,0.7696
5,3200,0.02,0.7674
5,3200,0.03,0.7628
5,4000,0.003,0.7728
5,4000,0.005,0.7708
5,4000,0.01,0.767
5,4000,0.02,0.7628
5,4000,0.03,0.7584
5,6000,0.003,0.776
5,6000,0.005,0.7788
5,6000,0.01,0.7704
5,6000,0.02,0.763
5,6000,0.03,0.7582
5,8000,0.003,0.7794
5,8000,0.005,0.7768
5,8000,0.01,0.7714
5,8000,0.02,0.7626
5,8000,0.03,0.7574
6,400,0.003,0.7136
6,400,0.005,0.719
6,400,0.01,0.7232
6,400,0.02,0.7262
6,400,0.03,0.7284
6,800,0.003,0.7324
6,800,0.005,0.7402
6,800,0.01,0.742
6,800,0.02,0.7422
6,800,0.03,0.7414
6,1200,0.003,0.7582
6,1200,0.005,0.7612
6,1200,0.01,0.7604
6,1200,0.02,0.762
6,1200,0.03,0.7588
6,1600,0.003,0.7592
6,1600,0.005,0.762
6,1600,0.01,0.7646
6,1600,0.02,0.7608
6,1600,0.03,0.7582
6,2000,0.003,0.7654
6,2000,0.005,0.766
6,2000,0.01,0.7668
6,2000,0.02,0.7614
6,2000,0.03,0.7578
6,2400,0.003,0.7752
6,2400,0.005,0.7752
6,2400,0.01,0.77
6,2400,0.02,0.7658
6,2400,0.03,0.7626
6,3200,0.003,0.7766
6,3200,0.005,0.7784
6,3200,0.01,0.773
6,3200,0.02,0.7686
6,3200,0.03,0.7618
6,4000,0.003,0.7786
6,4000,0.005,0.7768
6,4000,0.01,0.7784
6,4000,0.02,0.7736
6,4000,0.03,0.7672
6,6000,0.003,0.778
6,6000,0.005,0.7732
6,6000,0.01,0.7708
6,6000,0.02,0.7638
6,6000,0.03,0.7598
6,8000,0.003,0.7858
6,8000,0.005,0.7842
6,8000,0.01,0.778
6,8000,0.02,0.7688
6,8000,0.03,0.7646
7,400,0.003,0.7172
7,400,0.005,0.7208
7,400,0.01,0.724
7,400,0.02,0.7264
7,400,0.03,0.729
7,800,0.003,0.7426
7,800,0.005,0.7494
7,800,0.01,0.754
7,800,0.02,0.7528
7,800,0.03,0.7546
7,1200,0.003,0.7564
7,1200,0.005,0.7582
7,1200,0.01,0.7584
7,1200,0.02,0.7588
7,1200,0.03,0.7556
7,1600,0.003,0.7702
7,1600,0.005,0.7698
7,1600,0.01,0.7702
7,1600,0.02,0.7686
7,1600,0.03,0.7636
7,2000,0.003,0.7668
7,2000,0.005,0.7696
7,2000,0.01,0.7664
7,2000,0.02,0.7588
7,2000,0.03,0.758
7,2400,0.003,0.7658
7,2400,0.005,0.768
7,2400,0.01,0.7658
7,2400,0.02,0.7636
7,2400,0.03,0.7592
7,3200,0.003,0.7788
7,3200,0.005,0.7796
7,3200,0.01,0.777
7,3200,0.02,0.771
7,3200,0.03,0.7664
7,4000,0.003,0.7824
7,4000,0.005,0.7786
7,4000,0.01,0.7728
7,4000,0.02,0.7672
7,4000,0.03,0.7608
7,6000,0.003,0.781
7,6000,0.005,0.7766
7,6000,0.01,0.7702
7,6000,0.02,0.762
7,6000,0.03,0.7596
7,8000,0.003,0.7752
7,8000,0.005,0.7694
7,8000,0.01,0.762
7,8000,0.02,0.7532
7,8000,0.03,0.7524
8,400,0.003,0.715
8,400,0.005,0.718
8,400,0.01,0.7224
8,400,0.02,0.7238
8,400,0.03,0.7258
8,800,0.003,0.7454
8,800,0.005,0.7482
8,800,0.01,0.749
8,800,0.02,0.7492
8,800,0.03,0.7464
8,1200,0.003,0.7544
8,1200,0.005,0.7574
8,1200,0.01,0.7616
8,1200,0.02,0.7596
8,1200,0.03,0.756
8,1600,0.003,0.76
8,1600,0.005,0.7628
8,1600,0.01,0.7616
8,1600,0.02,0.7572
8,1600,0.03,0.7536
8,2000,0.003,0.7736
8,2000,0.005,0.7752
8,2000,0.01,0.773
8,2000,0.02,0.7666
8,2000,0.03,0.7608
8,2400,0.003,0.7742
8,2400,0.005,0.7702
8,2400,0.01,0.7644
8,2400,0.02,0.7556
8,2400,0.03,0.7486
8,3200,0.003,0.7816
8,3200,0.005,0.779
8,3200,0.01,0.7726
8,3200,0.02,0.7664
8,3200,0.03,0.7596
8,4000,0.003,0.7702
8,4000,0.005,0.768
8,4000,0.01,0.7638
8,4000,0.02,0.7582
8,4000,0.03,0.752
8,6000,0.003,0.775
8,6000,0.005,0.7654
8,6000,0.01,0.7586
8,6000,0.02,0.75
8,6000,0.03,0.7446
8,8000,0.003,0.7502
8,8000,0.005,0.7416
8,8000,0.01,0.7328
8,8000,0.02,0.7258
8,8000,0.03,0.7254
